"Story","Title","Result","Date","Stability","Duration (s)"
"Stores assertion test","Verify the if the total is equal to 1563","SUCCESS","2023-06-04T17:56:09.692+01:00[Europe/London]","0.0","0.06"
"Stores assertion test","Verify the if the stores of limit is equal to 10","SUCCESS","2023-06-04T17:56:09.748+01:00[Europe/London]","0.0","0.01"
"Stores assertion test","Check the single ‘Name’ in the Array list (Inver Grove Heights)","SUCCESS","2023-06-04T17:56:09.762+01:00[Europe/London]","0.0","0.02"
"Stores assertion test","Check the multiple ‘Names’ in the ArrayList (Roseville, Burnsville, Maplewood)","SUCCESS","2023-06-04T17:56:09.782+01:00[Europe/London]","0.0","0.01"
"Stores assertion test","Verify the storied=7 inside storeservices of the third store of second services","SUCCESS","2023-06-04T17:56:09.797+01:00[Europe/London]","0.0","0.01"
"Stores assertion test","Check hash map values ‘createdAt’ inside storeservices map where store name = Roseville","SUCCESS","2023-06-04T17:56:09.812+01:00[Europe/London]","0.0","0.02"
"Stores assertion test","Verify the state = MN of forth store","SUCCESS","2023-06-04T17:56:09.834+01:00[Europe/London]","0.0","0.01"
"Stores assertion test","Verify the store name = Rochester of 9th store","SUCCESS","2023-06-04T17:56:09.844+01:00[Europe/London]","0.0","0.01"
"Stores assertion test","Verify the storeId = 11 for the 6th store","SUCCESS","2023-06-04T17:56:09.858+01:00[Europe/London]","0.0","0.01"
"Stores assertion test","Verify the serviceId = 4 for the 7th store of forth service","SUCCESS","2023-06-04T17:56:09.871+01:00[Europe/London]","0.0","0.01"
